edition_id,edition_date,client_name,allocated_to,pages,errors,tickets_raised,processing_time_minutes,status
ED0001,2025-06-01,The Sun,Kiran,32,1,True,42,Error Resolved
ED0002,2025-06-02,Daily Mail,Sunil,40,2,True,56,Completed
ED0003,2025-06-03,NY Times,Rahul,32,1,True,53,Pending
ED0004,2025-06-04,The Guardian,Amit,34,2,False,42,Pending
ED0005,2025-06-05,Daily Mail,Rahul,35,2,False,53,Completed
ED0006,2025-06-06,Daily Mail,Deepak,24,1,False,30,Completed
ED0007,2025-06-07,Daily Mail,Kiran,24,2,True,55,Error Resolved
ED0008,2025-06-08,Daily Mail,Sneha,35,1,True,30,Error Resolved
ED0009,2025-06-09,The Guardian,Sneha,24,3,False,43,Error Resolved
ED0010,2025-06-10,NY Times,Rahul,36,2,False,39,Completed
ED0011,2025-06-11,The Times,Rita,22,3,False,44,Completed
ED0012,2025-06-12,The Times,Sunil,37,2,True,54,Completed
ED0013,2025-06-13,The Sun,Pooja,37,2,True,45,Completed
ED0014,2025-06-14,The Sun,Rahul,40,1,True,34,Completed
ED0015,2025-06-15,NY Times,Rahul,37,3,True,59,Pending
ED0016,2025-06-16,The Sun,Sneha,38,0,False,60,Completed
ED0017,2025-06-17,NY Times,Deepak,29,3,True,45,Error Resolved
ED0018,2025-06-18,The Times,Sneha,34,3,True,57,Completed
ED0019,2025-06-19,The Guardian,Pooja,29,3,True,33,Completed
ED0020,2025-06-20,NY Times,Rahul,21,1,False,35,Error Resolved
ED0021,2025-06-21,NY Times,Rahul,21,3,False,57,Pending
ED0022,2025-06-22,NY Times,Ravi,23,0,True,41,Completed
ED0023,2025-06-23,The Sun,Amit,20,3,True,49,Pending
ED0024,2025-06-24,The Times,Sneha,22,2,False,50,Pending
ED0025,2025-06-25,The Sun,Anita,33,3,True,45,Error Resolved
ED0026,2025-06-26,Daily Mail,Deepak,23,3,True,55,Completed
ED0027,2025-06-27,The Guardian,Deepak,24,2,True,31,Error Resolved
ED0028,2025-06-28,Daily Mail,Amit,31,3,False,49,Completed
ED0029,2025-06-29,The Guardian,Amit,40,3,False,48,Error Resolved
ED0030,2025-06-30,Daily Mail,Deepak,28,3,False,48,Completed
ED0031,2025-07-01,The Times,Ravi,29,3,False,56,Error Resolved
ED0032,2025-07-02,The Guardian,Sunil,28,2,False,58,Pending
ED0033,2025-07-03,Daily Mail,Deepak,20,1,False,50,Pending
ED0034,2025-07-04,NY Times,Rita,40,1,False,53,Completed
ED0035,2025-07-05,The Times,Sunil,40,3,True,58,Completed
ED0036,2025-07-06,The Guardian,Kiran,36,2,False,36,Completed
ED0037,2025-07-07,NY Times,Deepak,40,0,False,46,Completed
ED0038,2025-07-08,The Guardian,Rahul,27,0,False,36,Completed
ED0039,2025-07-09,The Times,Rahul,39,0,True,41,Error Resolved
ED0040,2025-07-10,NY Times,Pooja,40,0,False,53,Pending
ED0041,2025-07-11,The Guardian,Amit,38,2,False,57,Completed
ED0042,2025-07-12,Daily Mail,Anita,20,0,True,40,Error Resolved
ED0043,2025-07-13,Daily Mail,Sneha,25,2,False,45,Completed
ED0044,2025-07-14,The Times,Ravi,35,3,True,39,Completed
ED0045,2025-07-15,Daily Mail,Amit,31,0,False,44,Error Resolved
ED0046,2025-07-16,The Times,Rita,37,0,False,44,Error Resolved
ED0047,2025-07-17,NY Times,Pooja,22,3,False,53,Error Resolved
ED0048,2025-07-18,The Sun,Rita,31,0,False,38,Completed
ED0049,2025-07-19,The Times,Sneha,40,2,True,44,Completed
ED0050,2025-07-20,NY Times,Kiran,25,2,False,55,Error Resolved
ED0051,2025-07-21,The Sun,Anita,40,1,False,48,Error Resolved
ED0052,2025-07-22,The Sun,Sneha,31,3,True,32,Error Resolved
ED0053,2025-07-23,The Times,Sneha,35,3,False,54,Error Resolved
